,Bowler,Country,No. of Matches Bowled In,Total Wickets,Total Balls Bowled,Total Runs Conceded,Bowling Average,Economy Rate,Strike Rate,Balls Bowled per Match,Wickets per Match
623,G Mubiru,Uganda,3,3,54,48,16,5.333333333,18,18,1
624,G Ngegba,Sierra Leone,5,7,90,89,12.71428571,5.933333333,12.85714286,18,1.4
625,G Sesay,Sierra Leone,14,20,219,222,11.1,6.082191781,10.95,15.64285714,1.428571429
626,G Stewart,Italy,9,9,204,185,20.55555556,5.441176471,22.66666667,22.66666667,1
627,G Venkateswaran,Luxembourg,4,1,44,79,79,10.77272727,44,11,0.25
628,G Wijekoon,Sri Lanka,3,2,66,101,50.5,9.181818182,33,22,0.666666667
629,GA Lamb,Zimbabwe,5,4,73,80,20,6.575342466,18.25,14.6,0.8
630,GA Priandana,Indonesia,5,4,66,85,21.25,7.727272727,16.5,13.2,0.8
631,GA Rogers,Scotland,1,0,24,52,0,13,0,24,0
632,GA Stuurman,South Africa,1,0,12,28,0,14,0,12,0
633,GB Brent,Zimbabwe,2,2,42,53,26.5,7.571428571,21,21,1
634,GB Hogg,Australia,13,7,252,306,43.71428571,7.285714286,36,19.38461538,0.538461538
635,GC Galanis,Greece,5,5,95,104,20.8,6.568421053,19,19,1
636,GC Smith,South Africa,3,0,24,57,0,14.25,0,8,0
637,GC Tonge,West Indies,1,1,24,25,25,6.25,24,24,1
638,GD Arta,Indonesia,1,0,12,21,0,10.5,0,12,0
639,GD Drummond,Scotland,8,4,144,192,48,8,36,18,0.5
640,GD Elliott,ICC World XI/New Zealand,15,14,192,235,16.78571429,7.34375,13.71428571,12.8,0.933333333
641,GD McGrath,Australia,2,5,48,79,15.8,9.875,9.6,24,2.5
642,GD Phillips,New Zealand,8,2,87,104,52,7.172413793,43.5,10.875,0.25
643,GDR Eranga,Canada,7,8,150,183,22.875,7.32,18.75,21.42857143,1.142857143
644,GE Mathurin,West Indies,3,4,60,65,16.25,6.5,15,20,1.333333333
645,GEF Barnett,Canada,1,0,6,11,0,11,0,6,0
646,GF Linde,South Africa,14,15,288,340,22.66666667,7.083333333,19.2,20.57142857,1.071428571
647,GG Alta,Turkey,4,4,78,117,29.25,9,19.5,19.5,1
648,GG Banner,Belize,1,1,12,24,24,12,12,12,1
649,GH Dockrell,Ireland,79,69,1382,1663,24.10144928,7.219971056,20.02898551,17.49367089,0.873417722
650,GH O'Brien,Bermuda,7,8,153,142,17.75,5.568627451,19.125,21.85714286,1.142857143
651,GH Worker,New Zealand,1,1,12,19,19,9.5,12,12,1
652,GHS Garton,England,1,1,24,57,57,14.25,24,24,1
653,GI Hume,Ireland,4,4,90,142,35.5,9.466666667,22.5,22.5,1
654,GI Maiden,Scotland,1,0,12,14,0,7,0,12,0
655,GJ Batty,England,1,0,18,17,0,5.666666667,0,18,0
656,GJ Delany,Ireland,44,32,783,1025,32.03125,7.85440613,24.46875,17.79545455,0.727272727
657,GJ Maxwell,Australia,62,38,805,1003,26.39473684,7.475776398,21.18421053,12.98387097,0.612903226
658,GJ McCarter,Ireland,1,0,18,30,0,10,0,18,0
659,GJ Snyman,South Africa,1,0,6,12,0,12,0,6,0
660,GJP Kruger,South Africa,1,0,24,29,0,7.25,0,24,0
661,GK Berg,Italy,11,14,222,241,17.21428571,6.513513514,15.85714286,20.18181818,1.272727273
662,GK Ghalley,Bhutan,1,0,6,13,0,13,0,6,0
663,GM Muthui,Kenya,8,7,144,153,21.85714286,6.375,20.57142857,18,0.875
664,GM Ntambalika,Malawi,6,5,90,115,23,7.666666667,18,15,0.833333333
665,GP Meade,Italy,11,8,182,187,23.375,6.164835165,22.75,16.54545455,0.727272727
666,GP Swann,England,36,50,780,824,16.48,6.338461538,15.6,21.66666667,1.388888889
667,GR Russ,Philippines,2,0,18,52,0,17.33333333,0,9,0
668,GRD Munasinghe,Italy,4,6,96,109,18.16666667,6.8125,16,24,1.5
669,GSNFG Jayasuriya,Sri Lanka,11,2,137,213,106.5,9.328467153,68.5,12.45454545,0.181818182
670,GT Main,Scotland,10,16,166,243,15.1875,8.78313253,10.375,16.6,1.6
671,GT Taylor,Bahamas,5,6,90,105,17.5,7,15,18,1.2
672,GW Aldridge,New Zealand,1,1,24,45,45,11.25,24,24,1
673,Gagandeep Singh,Ghana/Bulgaria,5,1,66,83,83,7.545454545,66,13.2,0.2
674,Garret Banner,Belize,6,5,132,162,32.4,7.363636364,26.4,22,0.833333333
675,Gaurav Mishra,Romania,12,6,198,242,40.33333333,7.333333333,33,16.5,0.5
676,Gayan Munaweera,Qatar,11,13,192,260,20,8.125,14.76923077,17.45454545,1.181818182
677,Ghulam Ahmadi,Germany,38,43,864,833,19.37209302,5.784722222,20.09302326,22.73684211,1.131578947
678,Gulbadin Naib,Afghanistan,34,20,513,707,35.35,8.269005848,25.65,15.08823529,0.588235294
679,Gulsan Jha,Nepal,1,1,18,16,16,5.333333333,18,18,1
680,Gurdeep Singh,Kenya,3,2,36,57,28.5,9.5,18,12,0.666666667
681,Gurpratap Singh,Cyprus,10,16,204,233,14.5625,6.852941176,12.75,20.4,1.6
682,Gurpreet Singh,Italy,2,0,24,26,0,6.5,0,12,0
683,H Carlyon,Jersey,17,14,246,218,15.57142857,5.317073171,17.57142857,14.47058824,0.823529412
684,H Dandapani,Finland,2,2,30,49,24.5,9.8,15,15,1
685,H Davids,South Africa,2,1,12,13,13,6.5,12,6,0.5
686,H Fennell,Argentina,10,14,209,271,19.35714286,7.779904306,14.92857143,20.9,1.4
687,H Gori,Czech Republic,1,1,12,22,22,11,12,12,1
688,H Hiri,Papua New Guinea,1,1,12,6,6,3,12,12,1
689,H Ivanov,Bulgaria,1,0,12,11,0,5.5,0,12,0
690,H Klaasen,South Africa,1,0,6,14,0,14,0,6,0
691,H Lakov,Bulgaria,21,21,486,638,30.38095238,7.87654321,23.14285714,23.14285714,1
692,H Lin Aung,Myanmar,4,3,96,109,36.33333333,6.8125,32,24,0.75
693,H Lin Oo,Myanmar,3,2,36,57,28.5,9.5,18,12,0.666666667
694,H Masakadza,Zimbabwe,8,2,60,97,48.5,9.7,30,7.5,0.25
695,H Osinde,Canada,5,4,90,138,34.5,9.2,22.5,18,0.8
696,H Patel,Canada,5,2,65,91,45.5,8.4,32.5,13,0.4
697,H Rashid,Eswatini,4,3,78,112,37.33333333,8.615384615,26,19.5,0.75
698,H Singh,Germany,1,0,6,16,0,16,0,6,0
699,H Ssenyondo,Uganda,44,49,892,816,16.65306122,5.488789238,18.20408163,20.27272727,1.113636364
700,H Thaker,Canada,10,5,180,207,41.4,6.9,36,18,0.5
701,HA Chohan,Tanzania,15,15,282,294,19.6,6.255319149,18.8,18.8,1
702,HA Varaiya,Kenya,15,11,272,303,27.54545455,6.683823529,24.72727273,18.13333333,0.733333333
703,HAM Shah,Denmark,12,15,203,214,14.26666667,6.325123153,13.53333333,16.91666667,1.25
704,HB Shipley,New Zealand,3,1,54,98,98,10.88888889,54,18,0.333333333
705,HC Overdijk,Netherlands,1,1,12,11,11,5.5,12,12,1
706,HER Tyler,Philippines,6,3,114,198,66,10.42105263,38,19,0.5
707,HF Gurney,England,2,3,48,55,18.33333333,6.875,16,24,1.5
708,HH Pandya,India,80,71,1421,1937,27.28169014,8.178747361,20.01408451,17.7625,0.8875
709,HJ Manenti,Italy,9,19,207,238,12.52631579,6.898550725,10.89473684,23,2.111111111
710,HK Bennett,New Zealand,8,5,165,236,47.2,8.581818182,33,20.625,0.625
711,HL Harji,Seychelles,4,4,60,64,16,6.4,15,15,1
712,HMCM Bandara,Sri Lanka,4,4,84,96,24,6.857142857,21,21,1
713,HMRKB Herath,Sri Lanka,16,13,344,370,28.46153846,6.453488372,26.46153846,21.5,0.8125
714,HN Ya France,Namibia,14,5,156,176,35.2,6.769230769,31.2,11.14285714,0.357142857
715,HR Walsh,West Indies/United States of America,29,26,576,738,28.38461538,7.6875,22.15384615,19.86206897,0.896551724
716,HS Baidwan,Canada,8,9,150,206,22.88888889,8.24,16.66666667,18.75,1.125
717,HT Tector,Ireland,6,7,120,114,16.28571429,5.7,17.14285714,20,1.166666667
718,HV Mandhyan,Hungary,13,18,310,386,21.44444444,7.470967742,17.22222222,23.84615385,1.384615385
719,HV Patel,India,23,27,481,742,27.48148148,9.255717256,17.81481481,20.91304348,1.173913043
720,Habib Khan,Estonia,8,10,151,143,14.3,5.682119205,15.1,18.875,1.25
721,Haider Butt,Bahrain,4,4,42,53,13.25,7.571428571,10.5,10.5,1
722,Hamid Hassan,Afghanistan,22,29,478,507,17.48275862,6.364016736,16.48275862,21.72727273,1.318181818
723,Hamid Mahmood,Sweden,7,6,120,97,16.16666667,4.85,20,17.14285714,0.857142857
724,Hamza Dar,Spain,1,0,14,14,0,6,0,14,0
725,Hamza Tahir,Scotland,13,19,300,418,22,8.36,15.78947368,23.07692308,1.461538462
726,Harbhajan Singh,India,26,22,588,601,27.31818182,6.132653061,26.72727273,22.61538462,0.846153846
727,Haris Rauf,Pakistan,58,79,1303,1735,21.96202532,7.989255564,16.49367089,22.46551724,1.362068966
728,Haroon Arshad,Hong Kong,25,20,358,486,24.3,8.145251397,17.9,14.32,0.8
729,Haroon Shahid,Kuwait,1,0,18,31,0,10.33333333,0,18,0
730,Hasan Ali,Pakistan,47,57,997,1400,24.56140351,8.425275827,17.49122807,21.21276596,1.212765957
731,Hasan Cakir,Turkey,1,1,6,5,5,5,6,6,1
732,Hasan Mahmud,Bangladesh,17,18,354,445,24.72222222,7.542372881,19.66666667,20.82352941,1.058823529
733,Haseeb Amjad,Hong Kong,17,22,344,426,19.36363636,7.430232558,15.63636364,20.23529412,1.294117647
734,Hashir Hussain,Norway,1,0,6,10,0,10,0,6,0
735,Hassan Khan Mohammad,Hong Kong,1,0,12,22,0,11,0,12,0
736,Hassan Mehmood,Sweden,4,6,73,101,16.83333333,8.301369863,12.16666667,18.25,1.5
737,Hayatullah Niazi,Norway,3,2,48,62,31,7.75,24,16,0.666666667
738,Hisham Sheikh,Saudi Arabia,7,4,121,174,43.5,8.628099174,30.25,17.28571429,0.571428571
739,Hussain Talat,Pakistan,6,4,36,54,13.5,9,9,6,0.666666667
740,Huzaif Yousuf,Bulgaria,2,1,28,40,40,8.571428571,28,14,0.5
741,Huzaifa Mohammed,Philippines,10,6,221,288,48,7.819004525,36.83333333,22.1,0.6
742,Hwanhee Lee,South Korea,1,2,6,6,3,6,3,6,2
743,I Asif,Austria,1,1,12,23,23,11.5,12,12,1
744,I Bardis,Greece,1,1,6,12,12,12,6,6,1
745,I Danladi,Nigeria,2,4,42,33,8.25,4.714285714,10.5,21,2
746,I Elec,Turkey,7,6,114,120,20,6.315789474,19,16.28571429,0.857142857
747,I Kaia,Zimbabwe,2,0,12,9,0,4.5,0,6,0
748,I Kamara,Sierra Leone,1,0,12,21,0,10.5,0,12,0
749,I Katzarski,Bulgaria,2,0,12,25,0,12.5,0,6,0
750,I Master,Botswana,3,0,30,56,0,11.2,0,10,0
751,I Ntirenganya,Rwanda,13,8,226,264,33,7.008849558,28.25,17.38461538,0.615384615
752,I Sharma,India,14,8,278,400,50,8.633093525,34.75,19.85714286,0.571428571
753,I Takahashi,Japan,11,8,171,172,21.5,6.035087719,21.375,15.54545455,0.727272727
754,I Tchakou,Cameroon,3,0,20,53,0,15.9,0,6.666666667,0
755,I Udana,Sri Lanka,31,26,613,883,33.96153846,8.64274062,23.57692308,19.77419355,0.838709677
756,I Wardlaw,Scotland,4,9,96,145,16.11111111,9.0625,10.66666667,24,2.25
757,IDM Latin,Gibraltar,8,11,137,202,18.36363636,8.846715328,12.45454545,17.125,1.375
758,IE O'Brien,New Zealand,4,6,78,116,19.33333333,8.923076923,13,19.5,1.5
759,IG Butler,New Zealand,18,23,358,481,20.91304348,8.061452514,15.56521739,19.88888889,1.277777778
760,IG Holland,United States of America,4,6,96,61,10.16666667,3.8125,16,24,1.5
761,IGTR Kumara,Maldives,1,0,12,13,0,6.5,0,12,0
762,IH Romaine,Bermuda,1,0,16,19,0,7.125,0,16,0
763,IK Gamantika,Indonesia,2,3,30,12,4,2.4,10,15,1.5
764,IK Pathan,India,22,26,438,598,23,8.191780822,16.84615385,19.90909091,1.181818182
765,IKEG Artawan,Indonesia,6,13,94,88,6.769230769,5.617021277,7.230769231,15.66666667,2.166666667
766,IKO Aboagye,Ghana,4,6,84,83,13.83333333,5.928571429,14,21,1.5
767,IO Okpe,Nigeria,23,22,431,479,21.77272727,6.668213457,19.59090909,18.73913043,0.956521739
768,IP Swaney,Singapore,2,2,18,41,20.5,13.66666667,9,9,1
769,IS Sodhi,New Zealand,90,105,1945,2585,24.61904762,7.974293059,18.52380952,21.61111111,1.166666667
770,IW Budiarta,Indonesia,1,0,12,25,0,12.5,0,12,0
771,Ibrahim Hassan,Maldives,14,7,230,275,39.28571429,7.173913043,32.85714286,16.42857143,0.5
772,Ibrahim Jabarkhel,France,7,5,102,103,20.6,6.058823529,20.4,14.57142857,0.714285714
773,Ibrahim Nashath,Maldives,3,1,42,55,55,7.857142857,42,14,0.333333333
774,Ibrahim Rizan,Maldives,10,8,157,163,20.375,6.229299363,19.625,15.7,0.8
775,Iftekar Jaman,Cyprus,1,0,6,15,0,15,0,6,0
776,Iftikhar Ahmed,Pakistan,17,2,217,253,126.5,6.995391705,108.5,12.76470588,0.117647059
777,Iftikhar Anjum,Pakistan,2,1,48,67,67,8.375,48,24,0.5
778,Ihsanullah,Pakistan,4,6,89,108,18,7.280898876,14.83333333,22.25,1.5
779,Ijaz Hussain,Romania,22,27,383,459,17,7.190600522,14.18518519,17.40909091,1.227272727
780,Ikramullah Khan,Qatar,5,8,108,130,16.25,7.222222222,13.5,21.6,1.6
781,Ilyas Ahmed,Kuwait,6,6,114,157,26.16666667,8.263157895,19,19,1
782,Ilyas Ataullah,Turkey,5,2,72,105,52.5,8.75,36,14.4,0.4
783,Imad Wasim,Pakistan,63,58,1308,1366,23.55172414,6.266055046,22.55172414,20.76190476,0.920634921
784,Imran Ameer,Malta,15,11,303,366,33.27272727,7.247524752,27.54545455,20.2,0.733333333
785,Imran Anwar,Bahrain,27,25,489,625,25,7.668711656,19.56,18.11111111,0.925925926
786,Imran Arif,Saudi Arabia,2,2,48,62,31,7.75,24,24,1
787,Imran Butt,Bahrain,2,3,42,72,24,10.28571429,14,21,1.5
788,Imran Haider,United Arab Emirates,11,7,186,251,35.85714286,8.096774194,26.57142857,16.90909091,0.636363636
789,Imran Khan,Bahrain/Portugal,12,6,222,286,47.66666667,7.72972973,37,18.5,0.5
790,Imran Khan (1),Pakistan,3,1,72,106,106,8.833333333,72,24,0.333333333
791,Imran Tahir,ICC World XI/South Africa,34,55,749,847,15.4,6.785046729,13.61818182,22.02941176,1.617647059
792,Imran Yousaf,Saudi Arabia,3,3,54,92,30.66666667,10.22222222,18,18,1
793,Imran Yousuf,Saudi Arabia,1,1,18,6,6,2,18,18,1
794,Inam-ul-Haq,Qatar,3,1,60,82,82,8.2,60,20,0.333333333
795,Iqbal Hossain,Austria,2,2,30,30,15,6,15,15,1
796,Iqbal Hussain,Qatar,9,21,203,229,10.9047619,6.768472906,9.666666667,22.55555556,2.333333333
797,Irfan Ahmed,Hong Kong,8,11,162,190,17.27272727,7.037037037,14.72727273,20.25,1.375
798,Irfan Hafejee,Panama,7,10,147,181,18.1,7.387755102,14.7,21,1.428571429
799,Irfan Sarfraz,Saudi Arabia,2,0,18,24,0,8,0,9,0
800,Irshad Mubbashar,Saudi Arabia,2,1,12,22,22,11,12,6,0.5
801,Isa Zaroo,Bulgaria,1,1,18,36,36,12,18,18,1
802,Ishtiaq Ahmad,Saudi Arabia,6,7,138,143,20.42857143,6.217391304,19.71428571,23,1.166666667
803,Ismaila Tanba,Gambia,4,3,54,69,23,7.666666667,18,13.5,0.75
804,Israr Khan,Germany,2,0,24,37,0,9.25,0,12,0
805,Itibarshah Deedar,Austria,4,1,78,104,104,8,78,19.5,0.25
806,Izatullah Dawlatzai,Afghanistan/Germany,11,11,217,282,25.63636364,7.797235023,19.72727273,19.72727273,1
807,J Albin,Bulgaria,11,6,168,304,50.66666667,10.85714286,28,15.27272727,0.545454545
808,J Baguma,Uganda,9,15,191,197,13.13333333,6.188481675,12.73333333,21.22222222,1.666666667
809,J Baleicikoibia,Fiji,1,0,6,19,0,19,0,6,0
810,J Batinibulu,Fiji,4,5,93,124,24.8,8,18.6,23.25,1.25
811,J Botha,South Africa,38,37,768,813,21.97297297,6.3515625,20.75675676,20.21052632,0.973684211
812,J Broad,Germany,6,1,69,93,93,8.086956522,69,11.5,0.166666667
813,J Buchanan,Cayman Islands,3,2,36,40,20,6.666666667,18,12,0.666666667
814,J Bulele,Mozambique,12,16,242,274,17.125,6.79338843,15.125,20.16666667,1.333333333
815,J Butler,Isle of Man,11,16,183,215,13.4375,7.049180328,11.4375,16.63636364,1.454545455
816,J Coetzee,Thailand,4,5,60,34,6.8,3.4,12,15,1.25
817,J Evans,Israel,3,5,72,95,19,7.916666667,14.4,24,1.666666667
818,J Ghadiyali,Swaziland,5,5,74,73,14.6,5.918918919,14.8,14.8,1
819,J Grzinic,Croatia,1,0,1,4,0,24,0,1,0
820,J Henry,St Helena,3,2,40,52,26,7.8,20,13.33333333,0.666666667
821,J Hill,Philippines,2,3,36,50,16.66666667,8.333333333,12,18,1.5
822,J Horrocks,Gibraltar,5,3,54,120,40,13.33333333,18,10.8,0.6
823,J Hurley,Argentina,4,5,96,111,22.2,6.9375,19.2,24,1.25
824,J Jagroo,Bahamas,5,2,72,97,48.5,8.083333333,36,14.4,0.4
825,J Jojo,Denmark,10,7,198,200,28.57142857,6.060606061,28.28571429,19.8,0.7
826,J Kariko,Papua New Guinea,5,9,108,58,6.444444444,3.222222222,12,21.6,1.8
827,J Kila,Papua New Guinea,9,3,102,99,33,5.823529412,34,11.33333333,0.333333333
828,J Lewis,England,2,4,42,55,13.75,7.857142857,10.5,21,2
829,J Little,Ireland,57,66,1280,1617,24.5,7.5796875,19.39393939,22.45614035,1.157894737
830,J Louw,South Africa,2,2,42,54,27,7.714285714,21,21,1
831,J Marples,Gibraltar,1,0,6,14,0,14,0,6,0
832,J Matharu,Canada,4,0,48,57,0,7.125,0,12,0
833,J Miyaji,Uganda,14,22,294,299,13.59090909,6.102040816,13.36363636,21,1.571428571
834,J Mubarak,Sri Lanka,2,1,8,17,17,12.75,8,4,0.5
835,J Mulder,Ireland,8,12,174,192,16,6.620689655,14.5,21.75,1.5
836,J Nyumbu,Zimbabwe,2,0,36,76,0,12.66666667,0,18,0
837,J Perman,Spain,7,5,114,136,27.2,7.157894737,22.8,16.28571429,0.714285714
838,J Rasu,Vanuatu,12,11,228,252,22.90909091,6.631578947,20.72727273,19,0.916666667
839,J Reb,Serbia,1,0,12,41,0,20.5,0,12,0
840,J Sebanja,Uganda,4,3,72,112,37.33333333,9.333333333,24,18,0.75
841,J Shaju,Malta,11,11,201,265,24.09090909,7.910447761,18.27272727,18.27272727,1
842,J Singye,Bhutan,8,5,126,167,33.4,7.952380952,25.2,15.75,0.625
843,J Sumerauer,Jersey,19,18,338,428,23.77777778,7.597633136,18.77777778,17.78947368,0.947368421
844,J Theron,United States of America/South Africa,17,23,350,450,19.56521739,7.714285714,15.2173913,20.58823529,1.352941176
845,J Thinley,Bhutan,2,0,18,25,0,8.333333333,0,9,0
846,J van Heerden,Germany,2,4,42,58,14.5,8.285714286,10.5,21,2
847,JA Burrows,Isle of Man,14,19,246,295,15.52631579,7.195121951,12.94736842,17.57142857,1.357142857
848,JA Duffy,New Zealand,10,10,180,223,22.3,7.433333333,18,18,1
849,JA Fitzgerald,Gibraltar,17,11,291,479,43.54545455,9.87628866,26.45454545,17.11764706,0.647058824
850,JA Morkel,South Africa,41,23,586,792,34.43478261,8.109215017,25.47826087,14.29268293,0.56097561
851,JA Richardson,Australia,18,19,396,556,29.26315789,8.424242424,20.84210526,22,1.055555556
852,JAR Blain,Scotland,3,4,72,62,15.5,5.166666667,18,24,1.333333333
853,JB Abega,Cameroon,10,9,179,259,28.77777778,8.681564246,19.88888889,17.9,0.9
854,JB Reva,Papua New Guinea,8,7,127,148,21.14285714,6.992125984,18.14285714,15.875,0.875
855,JC Archer,England,14,14,324,421,30.07142857,7.796296296,23.14285714,23.14285714,1
856,JC Darji,Tanzania,5,10,101,69,6.9,4.099009901,10.1,20.2,2
857,JC Tredwell,England,13,6,275,355,59.16666667,7.745454545,45.83333333,21.15384615,0.461538462
858,JD Baker,Samoa,3,1,48,68,68,8.5,48,16,0.333333333
859,JD Campbell,West Indies,1,0,6,1,0,1,0,6,0
860,JD Nel,Scotland,4,6,84,80,13.33333333,5.714285714,14,21,1.5
861,JD Newton,Croatia,4,3,79,66,22,5.012658228,26.33333333,19.75,0.75
862,JD Ryder,New Zealand,5,2,60,68,34,6.8,30,12,0.4
863,JD Unadkat,India,10,14,208,301,21.5,8.682692308,14.85714286,20.8,1.4
864,JD Wildermuth,Australia,2,1,18,32,32,10.66666667,18,9,0.5
865,JDF Vandersay,Sri Lanka,13,6,272,370,61.66666667,8.161764706,45.33333333,20.92307692,0.461538462
866,JDP Oram,New Zealand,27,15,465,660,44,8.516129032,31,17.22222222,0.555555556
867,JDS Neesham,New Zealand,46,28,613,933,33.32142857,9.132137031,21.89285714,13.32608696,0.608695652
868,JE Pitcher,Bermuda,6,2,78,102,51,7.846153846,39,13,0.333333333
869,JE Root,England,9,5,84,139,27.8,9.928571429,16.8,9.333333333,0.555555556
870,JE Scott,Bahamas,3,2,54,57,28.5,6.333333333,27,18,0.666666667
871,JE Taylor,West Indies,28,30,558,800,26.66666667,8.602150538,18.6,19.92857143,1.071428571
872,JEA Doctora,Philippines,1,0,2,2,0,6,0,2,0
873,JEC Franklin,New Zealand,23,16,261,330,20.625,7.586206897,16.3125,11.34782609,0.695652174
874,JF Chester,Swaziland,2,2,30,51,25.5,10.2,15,15,1
875,JF Mooney,Ireland,7,8,126,139,17.375,6.619047619,15.75,18,1.142857143
876,JH Davey,Scotland,28,32,605,842,26.3125,8.350413223,18.90625,21.60714286,1.142857143
877,JH Kallis,South Africa,19,11,276,333,30.27272727,7.239130435,25.09090909,14.52631579,0.578947368
878,JH Stander,Scotland,4,2,36,85,42.5,14.16666667,18,9,0.5
879,JJ Bumrah,India,57,68,1235,1344,19.76470588,6.529554656,18.16176471,21.66666667,1.192982456
880,JJ Huo,Mozambique,9,13,135,171,13.15384615,7.6,10.38461538,15,1.444444444
881,JJ Nyambo,Tanzania,5,2,92,91,45.5,5.934782609,46,18.4,0.4
882,JJ Smit,Namibia,27,33,576,655,19.84848485,6.822916667,17.45454545,21.33333333,1.222222222
883,JJ Tucker,Bermuda,4,0,42,62,0,8.857142857,0,10.5,0
884,JJ Wright,Swaziland,2,0,24,36,0,9,0,12,0
885,JJ van der Wath,South Africa,7,7,168,208,29.71428571,7.428571429,24,24,1
886,JK Kamande,Kenya,4,8,90,98,12.25,6.533333333,11.25,22.5,2
887,JK Masara,Zimbabwe,1,0,6,5,0,5,0,6,0
888,JK Mukhiya,Nepal,10,9,156,168,18.66666667,6.461538462,17.33333333,15.6,0.9
889,JK Vifah,Ghana,4,2,47,63,31.5,8.042553191,23.5,11.75,0.5
890,JL Denly,England,6,7,72,93,13.28571429,7.75,10.28571429,12,1.166666667
891,JL Martel,Guernsey,2,4,42,34,8.5,4.857142857,10.5,21,2
892,JL Ontong,South Africa,4,1,36,83,83,13.83333333,36,9,0.25
893,JL Pattinson,Australia,4,2,78,104,52,8,39,19.5,0.5
894,JL de Mey,Netherlands,2,1,42,67,67,9.571428571,42,21,0.5
895,JM Anderson,England,18,18,398,524,29.11111111,7.899497487,22.11111111,22.11111111,1
896,JM Davison,Canada,2,1,36,43,43,7.166666667,36,18,0.5
897,JM Joao,Mozambique,1,0,6,8,0,8,0,6,0
898,JM Muirhead,Australia,3,4,60,64,16,6.4,15,20,1.333333333
899,JM Vujinovich,Croatia,5,6,102,113,18.83333333,6.647058824,17,20.4,1.2
900,JN Frylinck,Namibia,37,54,762,840,15.55555556,6.614173228,14.11111111,20.59459459,1.459459459
901,JN Gillespie,Australia,1,1,24,49,49,12.25,24,24,1
902,JN Loftie-Eaton,Namibia,11,3,145,176,58.66666667,7.282758621,48.33333333,13.18181818,0.272727273
903,JN Mohammed,West Indies,2,0,12,13,0,6.5,0,6,0
904,JN Snape,England,1,0,6,12,0,12,0,6,0
905,JNK Shannon,Ireland,1,0,6,11,0,11,0,6,0
906,JO Adedeji,Nigeria,13,8,204,222,27.75,6.529411765,25.5,15.69230769,0.615384615
907,JO Holder,West Indies,52,56,1150,1577,28.16071429,8.227826087,20.53571429,22.11538462,1.076923077
908,JO Ngoche,Kenya,6,2,120,109,54.5,5.45,60,20,0.333333333
909,JOA Gordon,Canada,8,11,179,220,20,7.374301676,16.27272727,22.375,1.375
910,JP Behrendorff,Australia,8,6,132,187,31.16666667,8.5,22,16.5,0.75
911,JP Duminy,South Africa,38,18,421,538,29.88888889,7.667458432,23.38888889,11.07894737,0.473684211
912,JP Faulkner,Australia,23,33,493,657,19.90909091,7.995943205,14.93939394,21.43478261,1.434782609
913,JR Barry,Bahamas,8,7,104,129,18.42857143,7.442307692,14.85714286,13,0.875
914,JR Hazlewood,Australia,39,51,880,1123,22.01960784,7.656818182,17.25490196,22.56410256,1.307692308
915,JR Hopes,Australia,12,10,222,283,28.3,7.648648649,22.2,18.5,0.833333333
916,JRMVB Sanjaya,Sri Lanka,8,8,173,250,31.25,8.670520231,21.625,21.625,1
917,JS Henriksen,Denmark,2,1,24,45,45,11.25,24,12,0.5
918,JS Kundi,Kenya,2,0,12,15,0,7.5,0,6,0
919,JS Malhotra,United States of America,2,0,18,13,0,4.333333333,0,9,0
920,JS Patel,New Zealand,8,13,151,208,16,8.264900662,11.61538462,18.875,1.625
921,JT Ball,England,2,2,42,87,43.5,12.42857143,21,21,1
922,JT Darrell,Bermuda,2,3,42,22,7.333333333,3.142857143,14,21,1.5
923,JT Smuts,South Africa,10,1,136,178,178,7.852941176,136,13.6,0.1
924,JW Chilia,Vanuatu,8,3,170,175,58.33333333,6.176470588,56.66666667,21.25,0.375
925,JW Dernbach,England/Italy,36,38,772,1072,28.21052632,8.331606218,20.31578947,21.44444444,1.055555556
926,JW Hastings,Australia,9,6,186,247,41.16666667,7.967741935,31,20.66666667,0.666666667
927,JW Wilson,New Zealand,1,0,24,43,0,10.75,0,24,0
928,JWM Dalrymple,England,3,2,30,39,19.5,7.8,15,10,0.666666667
929,JWN Moses,Botswana,2,0,48,46,0,5.75,0,24,0
930,JWW Gardner,Papua New Guinea,1,0,24,27,0,6.75,0,24,0
931,Jai Sinh,Switzerland,1,5,24,23,4.6,5.75,4.8,24,5
932,Jaison Jerome,Malta,6,1,96,177,177,11.0625,96,16,0.166666667
933,Janak Prakash,Singapore,33,35,674,995,28.42857143,8.857566766,19.25714286,20.42424242,1.060606061
934,Jandu Hamoud,Kuwait,2,2,30,44,22,8.8,15,15,1
935,Jasdeep Singh,United States of America,3,5,72,122,24.4,10.16666667,14.4,24,1.666666667
936,Jaspreet Singh,Italy,13,14,246,312,22.28571429,7.609756098,17.57142857,18.92307692,1.076923077
937,Jaswinder Singh,Malta,1,0,12,21,0,10.5,0,12,0
938,Jatinder Singh,Oman,1,0,12,17,0,8.5,0,12,0
939,Jaweed Sadran,Austria,13,10,203,286,28.6,8.45320197,20.3,15.61538462,0.769230769
940,Jay Odedra,Oman,3,0,42,74,0,10.57142857,0,14,0
941,Jitesh Patel,Malta,2,1,42,59,59,8.428571429,42,21,0.5
942,Jitin Singh,Tanzania,3,4,26,48,12,11.07692308,6.5,8.666666667,1.333333333
943,Joginder Sharma,India,4,4,87,138,34.5,9.517241379,21.75,21.75,1
