,Bowler,Country,No. of Matches Bowled In,Total Wickets,Total Balls Bowled,Total Runs Conceded,Bowling Average,Economy Rate,Strike Rate,Balls Bowled per Match,Wickets per Match
139,Aaron Jones,United States of America,9,5,98,118,23.6,7.224489796,19.6,10.88888889,0.555555556
140,Aayan Afzal Khan,United Arab Emirates,10,8,180,180,22.5,6,22.5,18,0.8
141,Abbas Ghani,Hungary,2,2,24,16,8,4,12,12,1
142,Abdul Bashir,Germany,1,1,24,26,26,6.5,24,24,1
143,Abdul Majid,Bahrain,6,7,120,127,18.14285714,6.35,17.14285714,20,1.166666667
144,Abdul Majid Abbasi,Bahrain,3,1,54,73,73,8.111111111,54,18,0.333333333
145,Abdul Naser Baluch,Sweden,1,2,14,9,4.5,3.857142857,7,14,2
146,Abdul Razzaq,Pakistan,20,18,321,358,19.88888889,6.691588785,17.83333333,16.05,0.9
147,Abdul Waheed,Saudi Arabia,1,2,12,11,5.5,5.5,6,12,2
148,Abdul Wahid,Saudi Arabia,3,7,60,49,7,4.9,8.571428571,20,2.333333333
149,Abdul-Shakoor Rahimzei,Germany,7,5,99,96,19.2,5.818181818,19.8,14.14285714,0.714285714
150,Abdullah Akbarjan,Austria,16,19,320,366,19.26315789,6.8625,16.84210526,20,1.1875
151,Abdullah Jasat,Panama,5,5,102,122,24.4,7.176470588,20.4,20.4,1
152,Abdullah Mahmood,Denmark,9,9,156,161,17.88888889,6.192307692,17.33333333,17.33333333,1
153,Abdullah Rana,Switzerland,4,8,66,87,10.875,7.909090909,8.25,16.5,2
154,Abdullah Sheikh,Norway,4,2,72,79,39.5,6.583333333,36,18,0.5
155,Abdur Razzak,Bangladesh,28,32,609,706,22.0625,6.955665025,19.03125,21.75,1.142857143
156,Abdur Rehman,Pakistan,7,10,138,156,15.6,6.782608696,13.8,19.71428571,1.428571429
157,Abhijeet Ahuja,Hungary,1,2,12,8,4,4,6,12,2
158,Absar Khan,Denmark,1,1,6,8,8,8,6,6,1
159,Abu Hider,Bangladesh,12,6,216,330,55,9.166666667,36,18,0.5
160,Abu Jayed,Bangladesh,3,4,66,106,26.5,9.636363636,16.5,22,1.333333333
161,Abubacarr Kuyateh,Gambia,5,3,84,106,35.33333333,7.571428571,28,16.8,0.6
162,Abul Farhad,Czech Republic,4,9,84,93,10.33333333,6.642857143,9.333333333,21,2.25
163,Abul Hasan,Bangladesh,3,4,54,100,25,11.11111111,13.5,18,1.333333333
164,Adil Butt,Eswatini/Saudi Arabia,6,8,126,154,19.25,7.333333333,15.75,21,1.333333333
165,Adnan Idrees,Kuwait,8,10,113,167,16.7,8.867256637,11.3,14.125,1.25
166,Adnan Razzaq,Belgium,2,1,30,45,45,9,30,15,0.5
