,Batter,Country,innings,total_runs,balls_faced,num_outs,batting_avg,strike_rate,bf_pi,bf_pw
529,CA Soper,Papua New Guinea,9,64,75,5.0,12.8,85.33333333333334,8.333333333333334,15.0
530,CA Young,Ireland,18,60,86,11.0,5.454545454545454,69.76744186046511,4.777777777777778,7.818181818181818
531,CAH Stevenson,United States of America,3,13,19,3.0,4.333333333333333,68.42105263157895,6.333333333333333,6.333333333333333
532,CAJ Meschede,Germany,4,174,111,3.0,58.0,156.75675675675674,27.75,37.0
533,CAK Rajitha,Sri Lanka,8,31,53,3.0,10.333333333333334,58.490566037735846,6.625,17.666666666666668
534,CAK Walton,West Indies,17,225,203,17.0,13.235294117647058,110.83743842364532,11.941176470588236,11.941176470588236
535,CB Mpofu,Zimbabwe,9,35,42,3.0,11.666666666666666,83.33333333333334,4.666666666666667,14.0
536,CB Ondoa,Cameroon,8,27,81,6.0,4.5,33.33333333333333,10.125,13.5
537,CB Sole,Scotland,2,6,3,0.0,6.0,200.0,1.5,inf
538,CBRLS Kumara,Sri Lanka,5,10,11,3.0,3.3333333333333335,90.9090909090909,2.2,3.6666666666666665
539,CD Barnwell,West Indies,6,78,62,4.0,19.5,125.80645161290323,10.333333333333334,15.5
540,CD McMillan,New Zealand,7,187,116,6.0,31.166666666666668,161.20689655172413,16.571428571428573,19.333333333333332
541,CD Wallace,Scotland,11,104,106,7.0,14.857142857142858,98.11320754716981,9.636363636363637,15.142857142857142
542,CD de Lange,Scotland,3,35,22,3.0,11.666666666666666,159.0909090909091,7.333333333333333,7.333333333333333
543,CE McConchie,New Zealand,7,84,75,4.0,21.0,112.00000000000001,10.714285714285714,18.75
544,CG Osborne,Croatia,2,11,25,1.0,11.0,44.0,12.5,25.0
