,Batter,Country,No. of Innings,No. of Not Outs,Total Runs,Total Balls Faced,No. of Outs,Batting Average,Strike Rate,Balls Faced per Innings,Balls Faced per Wicket
136,AJ Michael,Samoa,5,0,66,79,5,13.2,83.5443038,15.8,15.8
137,AJ Mosca,Italy,7,1,226,178,6,37.66666667,126.9662921,25.42857143,29.66666667
138,AJ Redmond,New Zealand,6,0,126,84,6,21,150,14,14
139,AJ Staal,Netherlands,9,2,97,70,7,13.85714286,138.5714286,7.777777778,10
140,AJ Strauss,England,4,0,73,64,4,18.25,114.0625,16,16
141,AJ Turner,Australia,13,4,108,128,9,12,84.375,9.846153846,14.22222222
142,AJ Tye,Australia,13,5,71,63,8,8.875,112.6984127,4.846153846,7.875
143,AK Kitchen,New Zealand,3,0,37,31,3,12.33333333,119.3548387,10.33333333,10.33333333
144,AK Markram,South Africa,30,6,966,642,24,40.25,150.4672897,21.4,26.75
145,AK Mohan,Finland,15,0,231,262,15,15.4,88.16793893,17.46666667,17.46666667
146,AK Muslar,Belize,6,2,32,70,4,8,45.71428571,11.66666667,17.5
147,AK Perera,Sri Lanka,4,0,43,47,4,10.75,91.4893617,11.75,11.75
148,AL Kerai,Sierra Leone,8,1,76,122,7,10.85714286,62.29508197,15.25,17.42857143
149,AL Phehlukwayo,South Africa,20,6,145,122,14,10.35714286,118.852459,6.1,8.714285714
150,AL Stephen,Vanuatu,5,1,13,32,4,3.25,40.625,6.4,8
151,AM Blignaut,Zimbabwe,1,0,8,8,1,8,100,8,8
152,AM Ellis,New Zealand,4,2,9,11,2,4.5,81.81818182,2.75,5.5
153,AM Fernando,Sri Lanka,1,1,10,2,0,10,500,2,inf
154,AM Guruge,United Arab Emirates,3,2,3,8,1,3,37.5,2.666666667,8
155,AM Kimote,Tanzania,14,7,107,89,7,15.28571429,120.2247191,6.357142857,12.71428571
156,AM McCarthy,West Indies,1,0,5,8,1,5,62.5,8,8
157,AM Oyede,Nigeria,6,-1,46,77,7,6.571428571,59.74025974,12.83333333,11
158,AM Patel,Panama,1,1,0,1,0,0,0,1,inf
159,AM Phangiso,South Africa,3,0,19,29,3,6.333333333,65.51724138,9.666666667,9.666666667
160,AM Rahane,India,18,1,352,311,17,20.70588235,113.1832797,17.27777778,18.29411765
161,AM Tribe,Jersey,14,1,264,249,13,20.30769231,106.0240964,17.78571429,19.15384615
162,AN Aminou,Cameroon,5,1,48,37,4,12,129.7297297,7.4,9.25
163,AN Cook,England,4,0,61,54,4,15.25,112.962963,13.5,13.5
164,AN Hyobeom,South Korea,2,0,8,14,2,4,57.14285714,7,7
165,AN Kervezee,Netherlands,8,1,245,223,7,35,109.8654709,27.875,31.85714286
166,AN Petersen,South Africa,2,0,14,19,2,7,73.68421053,9.5,9.5
167,AN Toube,Cameroon,10,0,40,63,10,4,63.49206349,6.3,6.3
168,AO Suji,Kenya,2,0,11,25,2,5.5,44,12.5,12.5
169,AP Devcich,New Zealand,4,0,111,79,4,27.75,140.5063291,19.75,19.75
170,AP Rajeevan,Tanzania,21,4,506,405,17,29.76470588,124.9382716,19.28571429,23.82352941
171,AP Yadav,Thailand,4,2,79,76,2,39.5,103.9473684,19,38
172,AR Adams,New Zealand,2,1,13,12,1,13,108.3333333,6,12
