,Batter,Country,No. of Innings,No. of Not Outs,Total Runs,Total Balls Faced,No. of Outs,Batting Average,Strike Rate,Balls Faced per Innings,Balls Faced per Wicket
1429,Kuldeep,Portugal,13,1,377,225,12,31.41666667,167.5555556,17.30769231,18.75
1430,Kuldeep Gurjar,South Korea,1,0,2,7,1,2,28.57142857,7,7
1431,Kuldeep Lal,Spain,3,1,27,26,2,13.5,103.8461538,8.666666667,13
1432,Kuldeep Singh,Philippines,2,0,7,14,2,3.5,50,7,7
1433,Kuldeep Yadav,India,6,2,46,58,4,11.5,79.31034483,9.666666667,14.5
1434,Kushal Malla,Nepal,12,4,183,124,8,22.875,147.5806452,10.33333333,15.5
1435,L Berthe,Mali,2,0,1,6,2,0.5,16.66666667,3,3
1436,L Bruce,Gibraltar,26,3,746,648,23,32.43478261,115.1234568,24.92307692,28.17391304
1437,L Canessane,France,14,3,203,160,11,18.45454545,126.875,11.42857143,14.54545455
1438,L Denny,Cook Islands,4,1,78,59,3,26,132.2033898,14.75,19.66666667
1439,L Emilio,Mozambique,10,3,84,85,7,12,98.82352941,8.5,12.14285714
1440,L Gregory,England,4,0,37,36,4,9.25,102.7777778,9,9
1441,L Karlsson,Sweden,6,1,43,45,5,8.6,95.55555556,7.5,9
1442,L Lamin,Sierra Leone,14,6,229,254,8,28.625,90.15748031,18.14285714,31.75
1443,L Louwrens,Namibia,1,1,17,15,0,17,113.3333333,15,inf
1444,L Maphane,Botswana,1,0,0,1,1,0,0,1,1
1445,L Monanthane,Lesotho,2,0,2,4,2,1,50,2,2
1446,L Ngidi,South Africa,8,3,16,30,5,3.2,53.33333333,3.75,6
1447,L Nou,Papua New Guinea,1,1,2,3,0,2,66.66666667,3,inf
1448,L Ronchi,New Zealand/Australia/ICC World XI,23,5,352,249,18,19.55555556,141.3654618,10.82608696,13.83333333
1449,L Sanogo,Mali,4,1,6,10,3,2,60,2.5,3.333333333
1450,L Shafeeg,Maldives,4,1,27,24,3,9,112.5,6,8
1451,L Siaka,Papua New Guinea,35,2,462,428,33,14,107.9439252,12.22857143,12.96969697
1452,L Sipamla,South Africa,2,1,8,11,1,8,72.72727273,5.5,11
1453,L Sreekumar,United Arab Emirates,1,0,0,1,1,0,0,1,1
1454,L Stubbs,Croatia,3,0,2,24,3,0.666666667,8.333333333,8,8
1455,L Tucker,Ireland,52,8,994,798,44,22.59090909,124.5614035,15.34615385,18.13636364
1456,L Vincent,New Zealand,8,0,132,136,8,16.5,97.05882353,17,17
1457,L Ward,Isle of Man,1,0,2,7,1,2,28.57142857,7,7
1458,L Yamamoto-Lake,Japan,11,1,171,145,10,17.1,117.9310345,13.18181818,14.5
1459,L Zulu,Swaziland,1,0,2,5,1,2,40,5,5
1460,LA Burns,Spain,9,2,99,84,7,14.14285714,117.8571429,9.333333333,12
1461,LA Collado,Gibraltar,4,2,17,27,2,8.5,62.96296296,6.75,13.5
1462,LA Dawson,England,5,1,57,35,4,14.25,162.8571429,7,8.75
1463,LA Dunbar,Serbia,17,5,516,362,12,43,142.5414365,21.29411765,30.16666667
1464,LA Musiani,Argentina,10,1,118,116,9,13.11111111,101.7241379,11.6,12.88888889
1465,LA Pomersbach,Australia,1,0,15,7,1,15,214.2857143,7,7
1466,LA Simango,Mozambique,6,4,25,45,2,12.5,55.55555556,7.5,22.5
1467,LB Ferbrache,Guernsey,13,1,206,233,12,17.16666667,88.41201717,17.92307692,19.41666667
1468,LB Williams,South Africa,2,2,4,7,0,4,57.14285714,3.5,inf
1469,LC Le Tissier,Guernsey,11,2,125,98,9,13.88888889,127.5510204,8.909090909,10.88888889
1470,LD Chandimal,Sri Lanka,59,7,1031,991,52,19.82692308,104.0363269,16.79661017,19.05769231
1471,LD Madushanka,Sri Lanka,3,0,22,29,3,7.333333333,75.86206897,9.666666667,9.666666667
1472,LE Bosman,South Africa,13,0,270,185,13,20.76923077,145.9459459,14.23076923,14.23076923
1473,LE Plunkett,England,9,2,42,34,7,6,123.5294118,3.777777778,4.857142857
1474,LH Ferguson,New Zealand,5,1,16,18,4,4,88.88888889,3.6,4.5
1475,LHB Harrington-Myers,Cayman Islands,4,1,32,39,3,10.66666667,82.05128205,9.75,13
1476,LI Salomone,Mozambique,1,1,1,2,0,1,50,2,inf
1477,LJ Barker,Guernsey,4,0,39,44,4,9.75,88.63636364,11,11
1478,LJ Myott,Philippines,1,1,1,2,0,1,50,2,inf
1479,LJ Wright,England,42,4,725,517,38,19.07894737,140.2321083,12.30952381,13.60526316
1480,LL Tsotsobe,South Africa,3,2,2,10,1,2,20,3.333333333,10
1481,LM Gabriel,Lesotho,4,1,90,67,3,30,134.3283582,16.75,22.33333333
1482,LM Jongwe,Zimbabwe,33,9,335,284,24,13.95833333,117.9577465,8.606060606,11.83333333
1483,LMP Simmons,West Indies,61,9,1436,1182,52,27.61538462,121.4890017,19.37704918,22.73076923
1484,LN Oluoch,Kenya,14,6,103,91,8,12.875,113.1868132,6.5,11.375
1485,LN Onyango,Kenya,3,2,12,16,1,12,75,5.333333333,16
1486,LN Rajbanshi,Nepal,1,0,3,7,1,3,42.85714286,7,7
1487,LP Kasturiarachchige,Austria,1,1,5,3,0,5,166.6666667,3,inf
1488,LPC Silva,Sri Lanka,15,2,175,175,13,13.46153846,100,11.66666667,13.46153846
1489,LRPL Taylor,New Zealand,83,17,1645,1356,66,24.92424242,121.3126844,16.3373494,20.54545455
1490,LS Livingstone,England,24,5,423,286,19,22.26315789,147.9020979,11.91666667,15.05263158
1491,LT Bichard,Guernsey,2,2,4,7,0,4,57.14285714,3.5,inf
1492,LV van Beek,Netherlands,13,5,58,76,8,7.25,76.31578947,5.846153846,9.5
1493,Lee Kangmin,South Korea,1,1,9,8,0,9,112.5,8,inf
1494,Lemar Momand,Sweden,3,2,4,10,1,4,40,3.333333333,10
1495,Liton Das,Bangladesh,71,1,1661,1251,70,23.72857143,132.773781,17.61971831,17.87142857
1496,Lokesh Bam,Nepal,6,1,66,53,5,13.2,124.5283019,8.833333333,10.6
1497,Luca Petre,Romania,2,1,8,9,1,8,88.88888889,4.5,9
1498,Lucky Ali,Denmark,12,3,134,164,9,14.88888889,81.70731707,13.66666667,18.22222222
1499,Luo Shilin,China,3,1,0,11,2,0,0,3.666666667,5.5
1500,M Abdulla,Malawi,2,0,6,13,2,3,46.15384615,6.5,6.5
1501,M Aboagye,Ghana,3,1,47,53,2,23.5,88.67924528,17.66666667,26.5
1502,M Akayezu,Rwanda,26,2,191,171,24,7.958333333,111.6959064,6.576923077,7.125
1503,M Ansari,Oman,3,3,5,8,0,5,62.5,2.666666667,inf
1504,M Beitaki,Fiji,5,1,56,39,4,14,143.5897436,7.8,9.75
1505,M Bhanuka,Sri Lanka,4,0,64,66,4,16,96.96969697,16.5,16.5
1506,M Brasier,Finland,2,1,1,4,1,1,25,2,4
1507,M Campopiano,Italy,13,3,401,320,10,40.1,125.3125,24.61538462,32
1508,M Cohen,Israel,2,0,33,31,2,16.5,106.4516129,15.5,15.5
1509,M Cope,Luxembourg,2,1,10,15,1,10,66.66666667,7.5,15
1510,M Dixit,Luxembourg,9,2,77,69,7,11,111.5942029,7.666666667,9.857142857
1511,M Faheem,Thailand,3,0,3,7,3,1,42.85714286,2.333333333,2.333333333
1512,M Faraz Akram,Zimbabwe,1,1,2,4,0,2,50,4,inf
1513,M Fontaine,Hungary,3,1,6,11,2,3,54.54545455,3.666666667,5.5
1514,M Fru,Cameroon,4,0,16,31,4,4,51.61290323,7.75,7.75
1515,M Gherasim,Romania,2,0,2,6,2,1,33.33333333,3,3
1516,M Gouws,Gibraltar,7,0,82,57,7,11.71428571,143.8596491,8.142857143,8.142857143
1517,M Jansen,South Africa,1,0,12,17,1,12,70.58823529,17,17
1518,M Jele,Swaziland/Eswatini,6,2,18,25,4,4.5,72,4.166666667,6.25
1519,M Jenkinson,Finland,5,0,89,78,5,17.8,114.1025641,15.6,15.6
1520,M Jobarteh,Gambia,5,1,26,26,4,6.5,100,5.2,6.5
1521,M Kadyan,Bulgaria,10,3,111,87,7,15.85714286,127.5862069,8.7,12.42857143
1522,M Klinger,Australia,3,0,143,111,3,47.66666667,128.8288288,37,37
1523,M Koli,Romania,9,3,107,83,6,17.83333333,128.9156627,9.222222222,13.83333333
1524,M Kpaka,Sierra Leone,7,1,32,46,6,5.333333333,69.56521739,6.571428571,7.666666667
1525,M Kristensen,Denmark,1,0,6,10,1,6,60,10,10
1526,M Kyriacou,Cyprus,4,1,57,76,3,19,75,19,25.33333333
1527,M Labuschagne,Australia,1,0,2,4,1,2,50,4,4
1528,M Leporoporo,Lesotho,3,1,7,14,2,3.5,50,4.666666667,7
1529,M Machado,Portugal,8,2,120,91,6,20,131.8681319,11.375,15.16666667
1530,M Magagula,Eswatini/Swaziland,5,1,35,59,4,8.75,59.3220339,11.8,14.75
1531,M Malle,Mali,1,0,3,24,1,3,12.5,24,24
1532,M Martin,Switzerland,1,0,2,6,1,2,33.33333333,6,6
1533,M Montgomery,Germany,1,0,13,19,1,13,68.42105263,19,19
1534,M Mooketsi,Botswana,14,3,36,59,11,3.272727273,61.01694915,4.214285714,5.363636364
1535,M Morkel,South Africa/ICC World XI,7,4,22,18,3,7.333333333,122.2222222,2.571428571,6
1536,M Mosehle,South Africa,6,1,105,65,5,21,161.5384615,10.83333333,13
1537,M Muralitharan,Sri Lanka,2,0,1,5,2,0.5,20,2.5,2.5
1538,M Mwamadi,Malawi,3,3,5,9,0,5,55.55555556,3,inf
1539,M Ntini,South Africa,4,2,10,11,2,5,90.90909091,2.75,5.5
1540,M Ozturk,Turkey,6,0,50,76,6,8.333333333,65.78947368,12.66666667,12.66666667
1541,M Pathirana,Sri Lanka,1,0,5,12,1,5,41.66666667,12,12
1542,M Podosky,Philippines,8,2,71,69,6,11.83333333,102.8985507,8.625,11.5
1543,M Prasanna,Romania,3,1,24,13,2,12,184.6153846,4.333333333,6.5
1544,M Sarenac,Serbia,4,1,4,13,3,1.333333333,30.76923077,3.25,4.333333333
1545,M Shahbaz Butt,Norway,4,0,35,39,4,8.75,89.74358974,9.75,9.75
1546,M Shumba,Zimbabwe,26,8,367,335,18,20.38888889,109.5522388,12.88461538,18.61111111
1547,M Sidibe,Mali,3,0,5,21,3,1.666666667,23.80952381,7,7
1548,M Simmons,Bermuda,1,1,18,16,0,18,112.5,16,inf
1549,M Simpson-Parker,Austria,15,1,237,233,14,16.92857143,101.7167382,15.53333333,16.64285714
1550,M Sohel Patel,Panama,7,0,64,56,7,9.142857143,114.2857143,8,8
1551,M Spoors,Canada,9,2,269,224,7,38.42857143,120.0892857,24.88888889,32
1552,M Stoman,Portugal,1,1,6,1,0,6,600,1,inf
1553,M Syahadat Ramli,Malaysia,12,5,205,147,7,29.28571429,139.4557823,12.25,21
1554,M Taniyama,Japan,5,0,12,20,5,2.4,60,4,4
1555,M Taylor,Bahamas,9,0,232,216,9,25.77777778,107.4074074,24,24
1556,M Theekshana,Sri Lanka,13,4,28,46,9,3.111111111,60.86956522,3.538461538,5.111111111
1557,M Vaik,Estonia,6,0,40,87,6,6.666666667,45.97701149,14.5,14.5
1558,M Vijay,India,9,0,169,153,9,18.77777778,110.4575163,17,17
1559,M Whelan,Gibraltar,5,1,50,45,4,12.5,111.1111111,9,11.25
1560,M Yunusu Issa,Tanzania,9,3,62,40,6,10.33333333,155,4.444444444,6.666666667
1561,M Zondeki,South Africa,1,0,0,1,1,0,0,1,1
1562,M van Lingen,Namibia,10,0,168,160,10,16.8,105,16,16
1563,MA Aponso,Sri Lanka,1,0,0,2,1,0,0,2,2
1564,MA Baig,Malawi,6,4,155,150,2,77.5,103.3333333,25,75
1565,MA Carberry,England,1,0,7,7,1,7,100,7,7
1566,MA Jones,Scotland,4,0,110,78,4,27.5,141.025641,19.5,19.5
1567,MA Leask,Scotland,38,6,566,420,32,17.6875,134.7619048,11.05263158,13.125
1568,MA Ouma,Kenya,13,1,73,91,12,6.083333333,80.21978022,7,7.583333333
1569,MA Starc,Australia,15,8,85,83,7,12.14285714,102.4096386,5.533333333,11.85714286
1570,MA Wood,England,3,3,11,13,0,11,84.61538462,4.333333333,inf
1571,MB Tambe,Finland,10,4,68,76,6,11.33333333,89.47368421,7.6,12.66666667
1572,MBS Jonkman,Netherlands,1,0,1,8,1,1,12.5,8,8
1573,MC Bascombe,West Indies,1,0,3,7,1,3,42.85714286,7,7
1574,MC Henriques,Australia,21,4,355,284,17,20.88235294,125,13.52380952,16.70588235
1575,MC Sorensen,Ireland,9,4,69,67,5,13.8,102.9850746,7.444444444,13.4
1576,MD Dai,Papua New Guinea,7,0,103,122,7,14.71428571,84.42622951,17.42857143,17.42857143
1577,MD Garratt,Gibraltar,3,1,7,21,2,3.5,33.33333333,7,10.5
1578,MD Gunathilaka,Sri Lanka,44,0,741,614,44,16.84090909,120.6840391,13.95454545,13.95454545
1579,MD Patel,United States of America,14,2,252,201,12,21,125.3731343,14.35714286,16.75
1580,MD Shanaka,Sri Lanka,80,17,1316,1079,63,20.88888889,121.9647822,13.4875,17.12698413
1581,MD du Preez,Namibia,2,2,62,58,0,62,106.8965517,29,inf
1582,MDK Perera,Sri Lanka,2,0,1,6,2,0.5,16.66666667,3,3
1583,MDKJ Perera,Sri Lanka,58,1,1527,1169,57,26.78947368,130.6244654,20.15517241,20.50877193
1584,ME Leoela,Lesotho,5,3,13,21,2,6.5,61.9047619,4.2,10.5
1585,ME Trescothick,England,3,0,166,130,3,55.33333333,127.6923077,43.33333333,43.33333333
1586,MEK Hussey,Australia,29,11,698,501,18,38.77777778,139.3213573,17.27586207,27.83333333
1587,MF Maharoof,Sri Lanka,4,0,20,32,4,5,62.5,8,8
1588,MG Bracewell,New Zealand,10,4,113,80,6,18.83333333,141.25,8,13.33333333
1589,MG Erasmus,Namibia,39,9,979,756,30,32.63333333,129.4973545,19.38461538,25.2
1590,MG Hunter,Gibraltar,2,0,28,39,2,14,71.79487179,19.5,19.5
1591,MG Johnson,Australia,17,7,109,95,10,10.9,114.7368421,5.588235294,9.5
1592,MGSM Fernando,Italy,3,0,24,19,3,8,126.3157895,6.333333333,6.333333333
1593,MH Cross,Scotland,48,7,873,758,41,21.29268293,115.171504,15.79166667,18.48780488
1594,MH Oman,Slovenia,3,1,5,21,2,2.5,23.80952381,7,10.5
1595,MH Yardy,England,7,5,96,72,2,48,133.3333333,10.28571429,36
1596,MJ Ansell,Isle of Man,6,1,33,42,5,6.6,78.57142857,7,8.4
1597,MJ Clarke,Australia,26,4,394,393,22,17.90909091,100.2544529,15.11538462,17.86363636
1598,MJ Guptill,New Zealand,109,7,3341,2431,102,32.75490196,137.4331551,22.30275229,23.83333333
1599,MJ Henry,New Zealand,2,0,10,6,2,5,166.6666667,3,3
1600,MJ Lumb,England,23,1,518,379,22,23.54545455,136.6754617,16.47826087,17.22727273
1601,MJ Mason,New Zealand,1,0,2,2,1,2,100,2,2
1602,MJ McClenaghan,New Zealand/ICC World XI,7,3,24,22,4,6,109.0909091,3.142857143,5.5
1603,MJ North,Australia,1,0,20,21,1,20,95.23809524,21,21
1604,MJ Prior,England,8,2,127,100,6,21.16666667,127,12.5,16.66666667
1605,MJ Richardson,Germany,24,7,513,495,17,30.17647059,103.6363636,20.625,29.11764706
1606,MJ Ross,Italy,4,1,55,39,3,18.33333333,141.025641,9.75,13
1607,MJ Santner,New Zealand,55,25,541,421,30,18.03333333,128.5035629,7.654545455,14.03333333
1608,MJ Swepson,Australia,5,5,32,23,0,32,139.1304348,4.6,inf
1609,MJG Rippon,Netherlands,7,1,131,130,6,21.83333333,100.7692308,18.57142857,21.66666667
1610,MK Anafie,Ghana,7,2,77,67,5,15.4,114.9253731,9.571428571,13.4
1611,MK Pandey,India,30,14,645,519,16,40.3125,124.2774566,17.3,32.4375
1612,MK Tiwary,India,1,0,15,17,1,15,88.23529412,17,17
1613,ML Bojang,Gambia,5,0,32,32,5,6.4,100,6.4,6.4
1614,ML Castillo,Belize,5,0,96,105,5,19.2,91.42857143,21,21
1615,ML Hayden,Australia,9,3,308,212,6,51.33333333,145.2830189,23.55555556,35.33333333
1616,ML Kostic,Serbia,7,1,37,45,6,6.166666667,82.22222222,6.428571429,7.5
1617,ML Udawatte,Sri Lanka,7,0,71,71,7,10.14285714,100,10.14285714,10.14285714
1618,MM Ali,England,59,15,1058,728,44,24.04545455,145.3296703,12.33898305,16.54545455
1619,MM Iqbal,Scotland,2,0,34,32,2,17,106.25,16,16
1620,MM Patel,India,1,0,0,1,1,0,0,1,1
1621,MM Sarwar,Kuwait,1,0,3,3,1,3,100,3,3
1622,MM Sharma,India,2,2,3,6,0,3,50,3,inf
1623,MM Siddique,Japan,1,0,1,2,1,1,50,2,2
1624,MMR Obili,Estonia,6,2,21,33,4,5.25,63.63636364,5.5,8.25
1625,MN Samuels,West Indies,60,10,1534,1294,50,30.68,118.5471406,21.56666667,25.88
1626,MN Waller,Zimbabwe,30,7,613,440,23,26.65217391,139.3181818,14.66666667,19.13043478
1627,MN van Wyk,South Africa,7,1,225,156,6,37.5,144.2307692,22.28571429,26
1628,MNM Aslam,Kuwait,12,1,158,168,11,14.36363636,94.04761905,14,15.27272727
1629,MNR Cooray,Maldives,3,1,99,76,2,49.5,130.2631579,25.33333333,38
1630,MO Bacarese,Gibraltar,2,0,24,37,2,12,64.86486486,18.5,18.5
1631,MO Jones,Bermuda,9,6,62,82,3,20.66666667,75.6097561,9.111111111,27.33333333
1632,MO Kain,United States of America,6,1,71,50,5,14.2,142,8.333333333,10
1633,MO Kitunda,Tanzania,17,1,239,211,16,14.9375,113.2701422,12.41176471,13.1875
1634,MP Biddappa,Philippines,5,1,63,101,4,15.75,62.37623762,20.2,25.25
1635,MP O'Dowd,Netherlands,52,4,1403,1148,48,29.22916667,122.2125436,22.07692308,23.91666667
1636,MP Stoinis,Australia,39,14,772,516,25,30.88,149.6124031,13.23076923,20.64
1637,MP Vaughan,England,2,0,27,21,2,13.5,128.5714286,10.5,10.5
1638,MPS Cheema,Austria,10,1,78,92,9,8.666666667,84.7826087,9.2,10.22222222
1639,MR Adair,Ireland,46,10,495,415,36,13.75,119.2771084,9.02173913,11.52777778
1640,MR Dorgan,Serbia,1,0,4,9,1,4,44.44444444,9,9
1641,MR Gillespie,New Zealand,6,4,21,28,2,10.5,75,4.666666667,14
1642,MR Marsh,Australia,43,7,1086,850,36,30.16666667,127.7647059,19.76744186,23.61111111
1643,MR Montfort,Canada,1,1,1,1,0,1,100,1,inf
1644,MR Swart,Netherlands,22,2,579,499,20,28.95,116.0320641,22.68181818,24.95
1645,MRJ Watt,Scotland,22,8,165,134,14,11.78571429,123.1343284,6.090909091,9.571428571
1646,MS Atapattu,Sri Lanka,1,0,5,8,1,5,62.5,8,8
1647,MS Aulakh,Canada,1,0,0,2,1,0,0,2,2
1648,MS Chapman,Hong Kong/New Zealand,44,6,1117,850,38,29.39473684,131.4117647,19.31818182,22.36842105
1649,MS Dhoni,India,81,40,1538,1216,41,37.51219512,126.4802632,15.01234568,29.65853659
1650,MS Diakite,Mali,3,0,14,17,3,4.666666667,82.35294118,5.666666667,5.666666667
1651,MS Diawara,Mali,4,0,11,27,4,2.75,40.74074074,6.75,6.75
1652,MS Graham,Bahamas,5,1,18,35,4,4.5,51.42857143,7,8.75
1653,MS Kasprowicz,Australia,1,1,3,5,0,3,60,5,inf
1654,MS Panesar,England,1,0,1,2,1,1,50,2,2
1655,MS Sinclair,New Zealand,2,0,0,5,2,0,0,2.5,2.5
1656,MS Wade,Australia,55,15,999,760,40,24.975,131.4473684,13.81818182,19
1657,MT Diaby,Mali,4,0,14,22,4,3.5,63.63636364,5.5,5.5
1658,MTMMJ Ave,Cook Islands,5,2,262,192,3,87.33333333,136.4583333,38.4,64
1659,MV Boucher,South Africa,20,5,268,274,15,17.86666667,97.81021898,13.7,18.26666667
1660,MV Matsau,Lesotho,7,3,26,34,4,6.5,76.47058824,4.857142857,8.5
1661,MV Pavlovic,Serbia,8,0,71,95,8,8.875,74.73684211,11.875,11.875
1662,MVT Fernando,Sri Lanka,1,0,2,2,1,2,100,2,2
1663,MW Machan,Scotland,12,3,364,276,9,40.44444444,131.884058,23,30.66666667
1664,MW Parkinson,England,4,0,5,11,4,1.25,45.45454545,2.75,2.75
1665,MWR Stokes,Guernsey,15,4,310,270,11,28.18181818,114.8148148,18,24.54545455
1666,Ma Qiancheng,China,3,1,1,18,2,0.5,5.555555556,6,9
1667,Maaz Khan,Lesotho,10,0,135,95,10,13.5,142.1052632,9.5,9.5
1668,Mahedi Hasan,Bangladesh,27,7,258,243,20,12.9,106.1728395,9,12.15
1669,Mahmud Jasat,Panama,7,1,120,146,6,20,82.19178082,20.85714286,24.33333333
1670,Mahmudullah,Bangladesh,106,21,2042,1731,85,24.02352941,117.9664934,16.33018868,20.36470588
1671,Maidul Islam,Estonia,8,0,143,149,8,17.875,95.97315436,18.625,18.625
1672,Mamoon Latif,Belgium,5,0,44,47,5,8.8,93.61702128,9.4,9.4
1673,Mandeep Singh,India,3,1,87,72,2,43.5,120.8333333,24,36
1674,Manoj Adhikari,Bhutan,3,2,17,41,1,17,41.46341463,13.66666667,41
1675,Manpreet Singh,Italy/Singapore,41,8,749,652,33,22.6969697,114.8773006,15.90243902,19.75757576
1676,Maqsood Ahmad,Belgium,1,0,13,19,1,13,68.42105263,19,19
1677,Mashrafe Mortaza,Bangladesh,32,8,249,194,24,10.375,128.3505155,6.0625,8.083333333
1678,Masood Jayezeh,Iran,1,0,1,4,1,1,25,4,4
1679,Mazhar Khan,Slovenia,3,1,9,18,2,4.5,50,6,9
1680,Mazharul Islam,Seychelles,7,1,143,142,6,23.83333333,100.7042254,20.28571429,23.66666667
1681,Md Shafiqul Haque,Thailand,4,0,88,62,4,22,141.9354839,15.5,15.5
1682,Meet Bhavsar,Kuwait,15,1,320,243,14,22.85714286,131.6872428,16.2,17.35714286
1683,Mehedi Hasan Miraz,Bangladesh,20,3,248,208,17,14.58823529,119.2307692,10.4,12.23529412
1684,Mehrab Hossain jnr,Bangladesh,2,1,16,25,1,16,64,12.5,25
1685,Mehran Khan,Oman,12,2,109,96,10,10.9,113.5416667,8,9.6
1686,Mehran Siasar,Iran,1,0,0,3,1,0,0,3,3
1687,Mian Mehmood,Portugal,5,0,32,36,5,6.4,88.88888889,7.2,7.2
1688,Mirwais Ashraf,Afghanistan,16,5,119,111,11,10.81818182,107.2072072,6.9375,10.09090909
1689,Mirza Ahsan,Austria,18,2,293,197,16,18.3125,148.7309645,10.94444444,12.3125
1690,Misbah-ul-Haq,Pakistan,31,12,718,661,19,37.78947368,108.623298,21.32258065,34.78947368
1691,Mobashar Ashraf,France,1,0,2,4,1,2,50,4,4
1692,Mohamed Arief,Malaysia,14,3,237,192,11,21.54545455,123.4375,13.71428571,17.45454545
1693,Mohamed Azzam,Maldives,10,1,87,112,9,9.666666667,77.67857143,11.2,12.44444444
1694,Mohamed Coulibaly,Mali,4,0,15,24,4,3.75,62.5,6,6
1695,Mohamed Khan,Sierra Leone,3,1,6,6,2,3,100,2,3
1696,Mohamed Mahfooz,Maldives,6,2,45,68,4,11.25,66.17647059,11.33333333,17
1697,Mohamed Rishwan,Maldives,14,0,212,211,14,15.14285714,100.4739336,15.07142857,15.07142857
1698,Mohamed Shafeeq,Kuwait,5,1,18,15,4,4.5,120,3,3.75
1699,Mohameed Taiwo,Nigeria,9,4,64,87,5,12.8,73.56321839,9.666666667,17.4
1700,Mohammad Aadil Alam,Nepal,7,1,90,63,6,15,142.8571429,9,10.5
1701,Mohammad Ahsan,Kuwait,2,0,12,12,2,6,100,6,6
1702,Mohammad Amin,Kuwait,2,1,50,50,1,50,100,25,50
1703,Mohammad Amir,Pakistan,12,4,59,71,8,7.375,83.09859155,5.916666667,8.875
1704,Mohammad Asaduzzaman,Finland,2,1,1,2,1,1,50,1,2
1705,Mohammad Ashraful,Bangladesh,20,0,382,277,20,19.1,137.9061372,13.85,13.85
1706,Mohammad Asif,Pakistan,2,2,9,3,0,9,300,1.5,inf
1707,Mohammad Ayaz,United Arab Emirates,1,0,0,2,1,0,0,2,2
1708,Mohammad Boota,United Arab Emirates,13,6,120,107,7,17.14285714,112.1495327,8.230769231,15.28571429
1709,Mohammad Ghazanfar,Hong Kong,6,3,15,18,3,5,83.33333333,3,6
1710,Mohammad Hafeez,Pakistan,102,13,2407,1944,89,27.04494382,123.8168724,19.05882353,21.84269663
1711,Mohammad Haris,Pakistan,9,0,126,98,9,14,128.5714286,10.88888889,10.88888889
1712,Mohammad Hasnain,Pakistan,7,6,24,26,1,24,92.30769231,3.714285714,26
1713,Mohammad Ihsan,Spain,7,2,131,87,5,26.2,150.5747126,12.42857143,17.4
1714,Mohammad Irfan,Pakistan,3,3,4,8,0,4,50,2.666666667,inf
1715,Mohammad Kamran,Spain,10,2,116,107,8,14.5,108.411215,10.7,13.375
1716,Mohammad Mithun,Bangladesh,13,1,127,136,12,10.58333333,93.38235294,10.46153846,11.33333333
1717,Mohammad Nabi,Afghanistan,97,19,1796,1293,78,23.02564103,138.9017788,13.32989691,16.57692308
1718,Mohammad Nadeem,Oman,22,5,313,293,17,18.41176471,106.8259386,13.31818182,17.23529412
1719,Mohammad Naim,Bangladesh,35,1,815,784,34,23.97058824,103.9540816,22.4,23.05882353
1720,Mohammad Naveed,United Arab Emirates,23,9,176,146,14,12.57142857,120.5479452,6.347826087,10.42857143
1721,Mohammad Nawaz,Pakistan,26,8,357,256,18,19.83333333,139.453125,9.846153846,14.22222222
1722,Mohammad Nawaz (3),Pakistan,9,3,70,70,6,11.66666667,100,7.777777778,11.66666667
1723,Mohammad Rizlan,Qatar,14,3,293,247,11,26.63636364,118.6234818,17.64285714,22.45454545
1724,Mohammad Rizwan,Pakistan,71,16,2742,2134,55,49.85454545,128.4910965,30.05633803,38.8
1725,Mohammad Saifuddin,Bangladesh,18,7,200,175,11,18.18181818,114.2857143,9.722222222,15.90909091
1726,Mohammad Salman,Pakistan,1,0,5,6,1,5,83.33333333,6,6
1727,Mohammad Sami,Pakistan,4,3,21,30,1,21,70,7.5,30
1728,Mohammad Shahzad,Afghanistan/United Arab Emirates,79,4,2138,1604,75,28.50666667,133.2917706,20.30379747,21.38666667
1729,Mohammad Shahzad (2),United Arab Emirates,6,1,92,64,5,18.4,143.75,10.66666667,12.8
1730,Mohammad Tauqir,United Arab Emirates,2,1,4,6,1,4,66.66666667,3,6
1731,Mohammad Usman,United Arab Emirates,2,1,58,61,1,58,95.08196721,30.5,61
1732,Mohammad Wasim,Pakistan,10,6,45,50,4,11.25,90,5,12.5
1733,Mohammad Yousuf,Pakistan,3,0,50,43,3,16.66666667,116.2790698,14.33333333,14.33333333
1734,Mohammed Alamgir,Eswatini,1,1,10,9,0,10,111.1111111,9,inf
1735,Mohammed Awais,Qatar,3,0,11,16,3,3.666666667,68.75,5.333333333,5.333333333
1736,Mohammed Faraazuddin,United Arab Emirates,2,0,3,8,2,1.5,37.5,4,4
1737,Mohammed Nadeem,Qatar,4,4,3,8,0,3,37.5,2,inf
1738,Mohammed Qasim,United Arab Emirates,3,1,36,50,2,18,72,16.66666667,25
1739,Mohammed Sameer,Bahrain,2,0,38,29,2,19,131.0344828,14.5,14.5
1740,Mohammed Shami,India,1,0,0,2,1,0,0,2,2
1741,Mohammed Siraj,India,1,0,5,7,1,5,71.42857143,7,7
1742,Mominul Haque,Bangladesh,3,1,44,30,2,22,146.6666667,10,15
1743,Mosaddek Hossain,Bangladesh,31,10,389,339,21,18.52380952,114.7492625,10.93548387,16.14285714
1744,Moshiur Rahman,Estonia,3,2,11,25,1,11,44,8.333333333,25
1745,Mudassar Bukhari,Netherlands,21,6,143,139,15,9.533333333,102.8776978,6.619047619,9.266666667
