,Bowler,Bowler Team(s),Matches Bowled In,Total Wickets,Balls Bowled,Total Runs Conceded,Bowling Average,Economy Rate,Strike Rate,Balls Bowled per Match,Wickets per Match
21,AB Dinda,Kolkata Knight Riders/Royal Challengers Bangalore/Pune Warriors/Rising Pune Supergiants/Delhi Daredevils/Rising Pune Supergiant,74,69,1498,2034,29.47826087,8.146862483,21.71014493,20.24324324,0.932432432
22,AB McDonald,Delhi Daredevils/Royal Challengers Bangalore,9,10,174,244,24.4,8.413793103,17.4,19.33333333,1.111111111
23,AC Gilchrist,Kings XI Punjab,1,1,1,0,0,0,1,1,1
24,AC Thomas,Pune Warriors,14,14,297,391,27.92857143,7.898989899,21.21428571,21.21428571,1
25,AC Voges,Rajasthan Royals,7,0,54,76,0,8.444444444,0,7.714285714,0
26,AD Mascarenhas,Kings XI Punjab/Rajasthan Royals,12,17,284,327,19.23529412,6.908450704,16.70588235,23.66666667,1.416666667
27,AD Mathews,Pune Warriors/Kolkata Knight Riders/Delhi Daredevils,44,27,791,1079,39.96296296,8.184576485,29.2962963,17.97727273,0.613636364
28,AD Russell,Kolkata Knight Riders/Delhi Daredevils,96,91,1491,2294,25.20879121,9.23138833,16.38461538,15.53125,0.947916667
29,AF Milne,Mumbai Indians/Royal Challengers Bangalore/Chennai Super Kings,10,7,207,327,46.71428571,9.47826087,29.57142857,20.7,0.7
30,AG Murtaza,Pune Warriors/Mumbai Indians,12,9,264,313,34.77777778,7.113636364,29.33333333,22,0.75
31,AJ Finch,Pune Warriors/Rajasthan Royals/Delhi Daredevils,5,1,43,67,67,9.348837209,43,8.6,0.2
32,AJ Hosein,Sunrisers Hyderabad,1,1,24,40,40,10,24,24,1
33,AJ Tye,Lucknow Super Giants/Kings XI Punjab/Gujarat Lions/Rajasthan Royals,29,41,678,974,23.75609756,8.619469027,16.53658537,23.37931034,1.413793103
34,AK Markram,Punjab Kings/Sunrisers Hyderabad,12,1,109,157,157,8.642201835,109,9.083333333,0.083333333
35,AL Menaria,Rajasthan Royals,12,2,110,144,72,7.854545455,55,9.166666667,0.166666667
36,AM Nayar,Mumbai Indians/Kings XI Punjab/Pune Warriors,19,9,229,322,35.77777778,8.436681223,25.44444444,12.05263158,0.473684211
37,AM Rahane,Mumbai Indians,1,1,6,5,5,5,6,6,1
38,AM Salvi,Delhi Daredevils,7,7,150,200,28.57142857,8,21.42857143,21.42857143,1
39,AN Ahmed,Mumbai Indians/Royal Challengers Bangalore,17,12,344,498,41.5,8.686046512,28.66666667,20.23529412,0.705882353
40,AP Dole,Rajasthan Royals,3,5,66,112,22.4,10.18181818,13.2,22,1.666666667
41,AR Patel,Delhi Capitals/Kings XI Punjab,131,103,2763,3351,32.53398058,7.276872964,26.82524272,21.09160305,0.786259542
42,AS Joseph,Gujarat Titans/Mumbai Indians,19,19,376,576,30.31578947,9.191489362,19.78947368,19.78947368,1
43,AS Rajpoot,Chennai Super Kings/Kolkata Knight Riders/Kings XI Punjab/Rajasthan Royals,29,23,529,815,35.43478261,9.243856333,23,18.24137931,0.793103448
44,AS Raut,Rajasthan Royals,5,0,30,44,0,8.8,0,6,0
45,AS Roy,Mumbai Indians/Kolkata Knight Riders,6,4,102,131,32.75,7.705882353,25.5,17,0.666666667
46,AU Rashid,Sunrisers Hyderabad/Punjab Kings,3,2,60,91,45.5,9.1,30,20,0.666666667
47,AUK Pathan,Royal Challengers Bangalore,3,0,39,63,0,9.692307692,0,13,0
48,Abdul Samad,Sunrisers Hyderabad,5,2,54,113,56.5,12.55555556,27,10.8,0.4
49,Abdur Razzak,Royal Challengers Bangalore,1,0,12,29,0,14.5,0,12,0
50,Abhishek Sharma,Sunrisers Hyderabad,21,9,222,324,36,8.756756757,24.66666667,10.57142857,0.428571429
51,Akash Deep,Royal Challengers Bangalore,7,5,143,264,52.8,11.07692308,28.6,20.42857143,0.714285714
52,Akash Madhwal,Mumbai Indians,8,14,153,219,15.64285714,8.588235294,10.92857143,19.125,1.75
53,Akash Singh,Chennai Super Kings/Rajasthan Royals,7,5,138,227,45.4,9.869565217,27.6,19.71428571,0.714285714
54,Aman Hakim Khan,Kolkata Knight Riders,1,0,6,13,0,13,0,6,0
55,Anand Rajan,Sunrisers Hyderabad/Deccan Chargers,8,8,149,201,25.125,8.093959732,18.625,18.625,1
56,Ankit Sharma,Rising Pune Supergiants/Rajasthan Royals/Deccan Chargers/Rising Pune Supergiant,20,12,355,433,36.08333333,7.318309859,29.58333333,17.75,0.6
57,Ankit Soni,Gujarat Lions,5,1,85,128,128,9.035294118,85,17,0.2
58,Anureet Singh,Kings XI Punjab/Rajasthan Royals/Kolkata Knight Riders,20,15,364,547,36.46666667,9.016483516,24.26666667,18.2,0.75
59,Arjun Tendulkar,Mumbai Indians,4,3,59,92,30.66666667,9.355932203,19.66666667,14.75,0.75
60,Arshad Khan,Mumbai Indians,6,4,85,190,47.5,13.41176471,21.25,14.16666667,0.666666667
61,Arshdeep Singh,Punjab Kings/Kings XI Punjab,50,51,1044,1512,29.64705882,8.689655172,20.47058824,20.88,1.02
